FLUXO ATUARIAL   -   CIVIL   -   PLANO PREVIDENCIÁRIO   -   BENEFÍCIOS AVALIADOS EM REGIME FINANCEIRO DE CAPITALIZAÇÃO   -   GERAÇÃO ATUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFORMAÇÕES PRELIMINARES;;;;;CONTRIBUIÇÕES FUTURAS DE APOSENTADOS  E PENSIONISTAS -  BENEFÍCIOS CONCEDIDOS;;;;;;;CONTRIBUIÇÕES FUTURAS DO ENTE - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIBUIÇÕES FUTURAS DOS ATIVOS - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIB. FUT. APOSENTADOS - BENEF. A CONCEDER;;;;;CONTRIB. FUT. PENSIONISTAS - BENEF. A CONCEDER;;;;;;OUTRAS RECEITAS - BENEF. A CONCEDER;;;;TOTAL;ENCARGOS - BENEFÍCIOS CONCEDIDOS;;;;;;;ENCARGOS - BENEFÍCIOS A CONCEDER;;;;;;;;;;TOTAL;RESULTADOS;;;;
8;2033;5,69;0,64227;50.492.734,2934;311.514,3179;0,00;311.514,3179;0,00;0,00;3.513,9212;640.879,4582;7.068.982,801;4.426.548,9951;2.642.433,8059;0,00;0,00;0,00;0,00;0,00;7.068.982,801;4.426.548,9951;2.642.433,8059;0,00;0,00;0,00;0,00;0,00;126,374;0,00;0,00;0,00;126,374;20.240,7173;20.240,7173;0,00;0,00;0,00;0,00;667.804,92109;6.030.503,04;9.427.562,6216;0,00;31.240.110,97329;14.784.566,3643;1.121.474,9186;11.696.114,2463;0,00;560.835,9498;1.406.141,2496;0,00;13.356.098,4217;2.897.115,5872;7.472.239,3109;0,00;878.186,9414;725.425,5539;1.383.131,0283;0,00;0,00;0,00;28.140.664,786;3.099.446,18729;341.722.111,06488;5,69;19.507.076,84152;362.337.952,79098
9;2034;5,69;0,60769;49.531.551,4938;305.816,3015;0,00;305.816,3015;0,00;0,00;3.386,8213;626.358,0862;6.934.417,2092;4.383.314,3075;2.551.102,9017;0,00;0,00;0,00;0,00;0,00;6.934.417,2092;4.383.314,3075;2.551.102,9017;0,00;0,00;0,00;0,00;0,00;149,3395;0,00;0,00;0,00;149,3395;23.141,1963;23.141,1963;0,00;0,00;0,00;0,00;735.768,12319;6.171.188,40;9.963.990,9347;0,00;31.698.633,62109;14.455.345,7507;1.080.682,9348;11.446.478,7884;0,00;553.123,0373;1.375.060,9902;0,00;14.715.362,4638;3.248.832,6962;8.076.652,2619;0,00;987.513,5359;809.089,1439;1.593.274,8259;0,00;0,00;0,00;29.170.708,2145;2.527.925,40659;363.874.147,78131;5,69;20.760.868,46944;385.626.746,66701
10;2035;5,69;0,57497;48.082.909,3628;299.758,4157;0,00;299.758,4157;0,00;0,00;3.256,7027;610.976,8961;6.731.607,3108;4.332.361,0763;2.399.246,2345;0,00;0,00;0,00;0,00;0,00;6.731.607,3108;4.332.361,0763;2.399.246,2345;0,00;0,00;0,00;0,00;0,00;174,6783;0,00;0,00;0,00;174,6783;26.089,2545;26.089,2545;0,00;0,00;0,00;0,00;823.329,39866;6.314.084,52;19.357.091,304;0,00;40.897.975,79156;14.107.121,5146;1.037.741,4198;11.181.796,5029;0,00;544.887,5534;1.342.696,0385;0,00;16.466.587,9731;3.643.993,8371;9.023.250,2939;0,00;1.098.196,3115;890.440,0998;1.810.707,4308;0,00;0,00;0,00;30.573.709,4877;10.324.266,30386;391.562.890,06374;5,69;22.529.612,63804;418.480.625,60891
11;2036;5,69;0,54402;46.950.991,003;293.330,2771;0,00;293.330,2771;0,00;0,00;3.126,2862;594.730,3822;6.573.138,7404;4.271.703,4857;2.301.435,2547;0,00;0,00;0,00;0,00;0,00;6.573.138,7404;4.271.703,4857;2.301.435,2547;0,00;0,00;0,00;0,00;0,00;202,7224;0,00;0,00;0,00;202,7224;29.065,3345;29.065,3345;0,00;0,00;0,00;0,00;896.241,35987;6.459.221,40;20.458.509,7991;0,00;41.880.705,04217;13.739.955,941;992.664,791;10.901.942,8522;0,00;536.124,9662;1.309.223,3316;0,00;17.924.827,1973;4.099.805,2116;9.609.414,4479;0,00;1.212.430,2929;971.553,5165;2.031.623,7284;0,00;0,00;0,00;31.664.783,1383;10.215.921,90387;424.038.291,44305;5,69;24.392.833,55348;453.089.381,06626
12;2037;5,69;0,51473;45.668.674,3209;286.522,118;0,00;286.522,118;0,00;0,00;2.998,3714;577.620,2415;6.393.614,4049;4.193.128,034;2.200.486,3709;0,00;0,00;0,00;0,00;0,00;6.393.614,4049;4.193.128,034;2.200.486,3709;0,00;0,00;0,00;0,00;0,00;233,8183;0,00;0,00;0,00;233,8183;32.045,9947;32.045,9947;0,00;0,00;0,00;0,00;972.254,24947;6.606.629,64;21.622.599,0067;0,00;42.888.132,24987;13.355.116,2752;945.544,1563;10.606.860,6745;0,00;526.836,4673;1.275.874,9771;0,00;19.445.084,9893;4.665.749,9353;10.144.095,9936;0,00;1.328.660,2945;1.052.376,6468;2.254.202,1191;0,00;0,00;0,00;32.800.201,2645;10.087.930,98537;458.281.941,78236;5,69;26.354.789,05574;489.532.101,10737
13;2038;5,69;0,48702;44.157.223,8833;279.324,7279;0,00;279.324,7279;0,00;0,00;2.874,934;559.705,1199;6.182.011,3436;4.105.468,6673;2.076.542,6763;0,00;0,00;0,00;0,00;0,00;6.182.011,3436;4.105.468,6673;2.076.542,6763;0,00;0,00;0,00;0,00;0,00;268,3934;0,00;0,00;0,00;268,3934;34.986,1607;34.986,1607;0,00;0,00;0,00;0,00;1.051.388,23982;6.756.340,20;22.852.924,8902;0,00;43.901.835,35312;12.952.818,4521;897.563,4141;10.296.538,9831;0,00;517.020,6033;1.241.695,4516;0,00;21.027.764,7963;5.205.258,3316;10.769.695,2189;0,00;1.445.699,317;1.130.936,7266;2.476.175,2022;0,00;0,00;0,00;33.980.583,2484;9.921.252,10472;494.363.949,30741;5,69;28.418.895,79777;527.872.249,00986
14;2039;5,69;0,4608;42.722.858,5746;271.773,3195;0,00;271.773,3195;0,00;0,00;2.838,6832;541.229,4368;5.981.200,2005;3.998.632,2164;1.982.567,9841;0,00;0,00;0,00;0,00;0,00;5.981.200,2005;3.998.632,2164;1.982.567,9841;0,00;0,00;0,00;0,00;0,00;306,9054;0,00;0,00;0,00;306,9054;37.907,999;37.907,999;0,00;0,00;0,00;0,00;1.130.385,07145;6.908.384,16;22.680.423,3104;0,00;43.535.649,28675;12.544.009,1013;847.947,0793;9.976.641,657;0,00;506.661,7417;1.212.758,6233;0,00;22.607.701,429;5.889.492,4757;11.244.613,6144;0,00;1.564.007,3134;1.206.801,3979;2.702.786,6276;0,00;0,00;0,00;35.151.710,5303;8.383.938,75645;531.735.567,98883;5,69;30.512.977,0839;566.769.164,85021
15;2040;5,69;0,43599;41.205.465,1052;263.812,5722;0,00;263.812,5722;0,00;0,00;2.800,2843;522.055,2635;5.768.765,1148;3.889.487,9057;1.879.277,2091;0,00;0,00;0,00;0,00;0,00;5.768.765,1148;3.889.487,9057;1.879.277,2091;0,00;0,00;0,00;0,00;0,00;349,8713;0,00;0,00;0,00;349,8713;40.728,7793;40.728,7793;0,00;0,00;0,00;0,00;1.205.047,46094;7.062.793,44;0,00;0,00;20.635.117,90114;12.119.651,184;798.945,477;9.642.159,7929;0,00;495.720,896;1.182.825,0181;0,00;24.100.949,2187;6.536.037,9671;11.676.874,0995;0,00;1.683.136,4325;1.279.153,1546;2.925.747,565;0,00;0,00;0,00;36.220.600,4027;-15.585.482,50156;559.974.050,33436;5,69;31.362.351,52564;582.546.033,87429
16;2041;5,69;0,41252;39.201.394,7162;255.475,0566;0,00;255.475,0566;0,00;0,00;2.759,7872;502.422,1168;5.488.195,2603;3.714.448,7218;1.773.746,5385;0,00;0,00;0,00;0,00;0,00;5.488.195,2603;3.714.448,7218;1.773.746,5385;0,00;0,00;0,00;0,00;0,00;397,8603;0,00;0,00;0,00;397,8603;43.457,9181;43.457,9181;0,00;0,00;0,00;0,00;1.296.854,99337;7.219.600,08;0,00;0,00;20.297.358,33297;11.685.609,5151;750.834,8039;9.297.607,5317;0,00;484.140,941;1.153.026,2385;0,00;25.937.099,8673;7.561.900,0997;12.078.638,6793;0,00;1.798.587,2022;1.346.359,8595;3.151.614,0266;0,00;0,00;0,00;37.622.709,3824;-17.325.351,04943;575.398.980,05938;5,69;32.161.056,85273;597.381.739,67759
17;2042;5,69;0,39031;36.953.872,30;246.717,8051;0,00;246.717,8051;0,00;0,00;2.717,1714;482.182,7231;5.173.542,122;3.574.801,2006;1.598.740,9214;0,00;0,00;0,00;0,00;0,00;5.173.542,122;3.574.801,2006;1.598.740,9214;0,00;0,00;0,00;0,00;0,00;451,5112;0,00;0,00;0,00;451,5112;46.030,2222;46.030,2222;0,00;0,00;0,00;0,00;1.395.438,99335;7.378.836,48;0,00;0,00;19.899.459,15035;11.238.149,3062;705.661,8373;8.937.992,6247;0,00;471.852,6077;1.122.642,2365;0,00;27.908.779,8669;8.319.336,672;12.898.924,2616;0,00;1.908.323,661;1.404.935,6957;3.377.259,5766;0,00;0,00;0,00;39.146.929,1731;-19.247.470,02275;589.869.259,65301;5,69;32.895.839,94336;611.030.109,5982
