FLUXO ATUARIAL   -   CIVIL   -   PLANO PREVIDENCIÁRIO   -   BENEFÍCIOS AVALIADOS EM REGIME FINANCEIRO DE CAPITALIZAÇÃO   -   GERAÇÃO ATUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFORMAÇÕES PRELIMINARES;;;;;CONTRIBUIÇÕES FUTURAS DE APOSENTADOS  E PENSIONISTAS -  BENEFÍCIOS CONCEDIDOS;;;;;;;CONTRIBUIÇÕES FUTURAS DO ENTE - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIBUIÇÕES FUTURAS DOS ATIVOS - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIB. FUT. APOSENTADOS - BENEF. A CONCEDER;;;;;CONTRIB. FUT. PENSIONISTAS - BENEF. A CONCEDER;;;;;;OUTRAS RECEITAS - BENEF. A CONCEDER;;;;TOTAL;ENCARGOS - BENEFÍCIOS CONCEDIDOS;;;;;;;ENCARGOS - BENEFÍCIOS A CONCEDER;;;;;;;;;;TOTAL;RESULTADOS;;;;
18;2043;5,69;0,3693;35.107.311,3649;237.539,9214;0,00;237.539,9214;0,00;0,00;2.672,3221;461.541,6862;4.915.023,5911;3.434.579,9692;1.480.443,6219;0,00;0,00;0,00;0,00;0,00;4.915.023,5911;3.434.579,9692;1.480.443,6219;0,00;0,00;0,00;0,00;0,00;511,5092;0,00;0,00;0,00;511,5092;48.409,6709;48.409,6709;0,00;0,00;0,00;0,00;1.472.402,11901;7.452.624,84;0,00;0,00;19.505.749,25101;10.787.111,5975;661.087,8816;8.569.745,8429;0,00;458.793,6976;1.097.484,1754;0,00;29.448.042,3801;9.053.590,4578;13.315.162,0303;0,00;2.016.213,3851;1.460.123,7768;3.602.952,7301;0,00;0,00;0,00;40.235.153,9776;-20.729.404,72659;603.374.740,43267;5,69;33.588.110,10719;623.888.814,9788
19;2044;5,69;0,34942;33.508.292,5695;227.943,0688;0,00;227.943,0688;0,00;0,00;2.625,002;440.789,2179;4.691.160,9597;3.299.538,1272;1.391.622,8325;0,00;0,00;0,00;0,00;0,00;4.691.160,9597;3.299.538,1272;1.391.622,8325;0,00;0,00;0,00;0,00;0,00;578,5999;0,00;0,00;0,00;578,5999;50.498,5795;50.498,5795;0,00;0,00;0,00;0,00;1.536.634,92721;7.527.151,20;0,00;0,00;19.168.542,51471;10.332.333,9661;622.371,56;8.193.412,7972;0,00;444.929,7325;1.071.619,8764;0,00;30.732.698,5441;9.729.617,3978;13.551.570,8963;0,00;2.121.776,8905;1.510.470,148;3.819.263,2115;0,00;0,00;0,00;41.065.032,5102;-21.896.489,99549;616.237.743,44458;5,69;34.253.363,29155;636.245.688,27486
20;2045;5,69;0,33061;30.767.439,6489;218.331,4201;0,00;218.331,4201;0,00;0,00;2.574,8636;420.359,895;4.307.441,5508;3.072.746,0824;1.234.695,4684;0,00;0,00;0,00;0,00;0,00;4.307.441,5508;3.072.746,0824;1.234.695,4684;0,00;0,00;0,00;0,00;0,00;653,5872;0,00;0,00;0,00;653,5872;52.410,006;52.410,006;0,00;0,00;0,00;0,00;1.644.426,5839;7.602.422,64;0,00;0,00;18.556.062,0974;9.885.423,8148;586.960,8786;7.820.237,0207;0,00;430.265,7666;1.047.960,1489;0,00;32.888.531,678;10.897.100,8641;14.182.804,2682;0,00;2.216.413,1355;1.552.582,2546;4.039.631,1556;0,00;0,00;0,00;42.773.955,4928;-24.217.893,3954;628.239.010,53941;5,69;34.824.381,52864;646.852.176,4081
21;2046;5,69;0,31281;28.741.298,9183;208.532,657;0,00;208.532,657;0,00;0,00;2.521,5057;400.522,7037;4.023.781,8485;2.904.326,2807;1.119.455,5678;0,00;0,00;0,00;0,00;0,00;4.023.781,8485;2.904.326,2807;1.119.455,5678;0,00;0,00;0,00;0,00;0,00;737,3323;0,00;0,00;0,00;737,3323;54.146,2223;54.146,2223;0,00;0,00;0,00;0,00;1.716.953,90965;7.678.446,84;0,00;0,00;18.109.424,86765;9.448.908,0721;557.248,3756;7.453.205,6976;0,00;414.858,1268;1.023.595,8721;0,00;34.339.078,193;11.653.395,5032;14.524.809,5211;0,00;2.305.170,3739;1.589.518,4023;4.266.184,3925;0,00;0,00;0,00;43.787.986,2651;-25.678.561,39745;638.819.665,61736;5,69;35.344.778,69411;656.518.393,70476
22;2047;5,69;0,29597;26.792.610,0586;198.445,822;0,00;198.445,822;0,00;0,00;2.464,5458;380.029,5171;3.750.965,4082;2.743.334,2042;1.007.631,204;0,00;0,00;0,00;0,00;0,00;3.750.965,4082;2.743.334,2042;1.007.631,204;0,00;0,00;0,00;0,00;0,00;830,8106;0,00;0,00;0,00;830,8106;55.470,0593;55.470,0593;0,00;0,00;0,00;0,00;1.781.862,79024;7.755.231,36;0,00;0,00;17.676.265,72144;8.997.979,4668;517.710,5995;7.082.879,7423;0,00;398.800,0824;998.589,0426;0,00;35.637.255,8047;12.347.038,6925;14.805.061,5072;0,00;2.386.938,8792;1.619.088,6962;4.479.128,0296;0,00;0,00;0,00;44.635.235,2715;-26.958.969,55006;648.539.347,48703;5,69;35.821.931,2344;665.381.355,3891
23;2048;5,69;0,28004;25.017.322,2644;188.260,2831;0,00;188.260,2831;0,00;0,00;2.403,7127;359.680,6705;3.502.425,117;2.588.125,1982;914.299,9188;0,00;0,00;0,00;0,00;0,00;3.502.425,117;2.588.125,1982;914.299,9188;0,00;0,00;0,00;0,00;0,00;6.291,9756;5.444,1238;0,00;0,00;847,8518;56.438,8676;56.438,8676;0,00;0,00;0,00;0,00;1.836.363,81493;7.832.783,64;0,00;0,00;17.287.073,19843;8.554.006,5573;470.220,9264;6.723.392,4838;0,00;382.940,5403;977.452,6068;0,00;36.727.276,2986;12.981.371,7706;14.964.009,5892;0,00;2.462.895,634;1.644.593,2115;4.674.406,0933;0,00;0,00;0,00;45.281.282,8559;-27.994.209,65747;657.541.856,91662;5,69;36.267.328,59213;673.654.474,32376
24;2049;5,69;0,26496;22.690.794,8544;177.902,9878;0,00;177.902,9878;0,00;0,00;2.338,8577;339.086,2862;3.176.711,2796;2.356.509,8578;820.201,4218;0,00;0,00;0,00;0,00;0,00;3.176.711,2796;2.356.509,8578;820.201,4218;0,00;0,00;0,00;0,00;0,00;6.217,142;5.349,6167;0,00;0,00;867,5253;57.123,9736;57.123,9736;0,00;0,00;0,00;0,00;1.907.837,6426;7.911.111,48;0,00;0,00;16.755.040,9291;8.104.392,6044;419.151,8471;6.362.573,8774;0,00;367.306,5149;955.360,365;0,00;38.156.752,8519;14.020.749,5612;15.083.503,1746;0,00;2.527.796,7329;1.663.794,0402;4.860.909,343;0,00;0,00;0,00;46.261.145,4563;-29.506.104,5272;665.836.536,86823;5,69;36.652.042,24142;680.800.412,03798
25;2050;5,69;0,2507;20.243.566,975;166.959,3718;0,00;166.959,3718;0,00;0,00;2.269,9304;316.137,2438;2.834.099,3765;2.201.888,7772;632.210,5993;0,00;0,00;0,00;0,00;0,00;2.834.099,3765;2.201.888,7772;632.210,5993;0,00;0,00;0,00;0,00;0,00;6.140,6046;5.250,2727;0,00;0,00;890,3319;56.997,922;56.997,922;0,00;0,00;0,00;0,00;1.972.731,74746;7.990.222,56;0,00;0,00;16.179.658,13306;7.606.378,2191;383.682,2594;5.939.062,6169;0,00;351.191,2204;932.442,1224;0,00;39.454.634,9492;14.543.677,282;15.649.677,1574;0,00;2.580.974,1855;1.677.079,3897;5.003.226,9346;0,00;0,00;0,00;47.061.013,1683;-30.881.355,03524;673.058.456,33065;5,69;36.980.394,34346;686.899.451,3462
26;2051;5,69;0,2372;18.173.024,0529;156.840,9887;0,00;156.840,9887;0,00;0,00;2.196,9367;297.963,9845;2.544.223,3674;2.017.133,8751;527.089,4923;0,00;0,00;0,00;0,00;0,00;2.544.223,3674;2.017.133,8751;527.089,4923;0,00;0,00;0,00;0,00;0,00;6.063,4652;5.146,6676;0,00;0,00;916,7976;57.093,5674;57.093,5674;0,00;0,00;0,00;0,00;2.023.846,56857;8.070.124,80;0,00;0,00;15.702.577,04587;7.204.213,8018;363.354,0632;5.595.925,6265;0,00;335.353,2223;909.580,8898;0,00;40.476.931,3713;15.219.437,4344;15.772.716,6663;0,00;2.621.559,8663;1.684.397,0071;5.178.820,3972;0,00;0,00;0,00;47.681.145,1731;-31.978.568,12723;679.314.134,98642;5,69;37.264.998,25516;692.185.881,47413
27;2052;5,69;0,22443;16.505.570,8328;146.813,2079;0,00;146.813,2079;0,00;0,00;2.119,8705;280.773,8883;2.310.779,9166;1.867.902,3286;442.877,588;0,00;0,00;0,00;0,00;0,00;2.310.779,9166;1.867.902,3286;442.877,588;0,00;0,00;0,00;0,00;0,00;5.986,3741;5.038,9362;0,00;0,00;947,4379;56.533,0206;56.533,0206;0,00;0,00;0,00;0,00;2.053.720,90623;8.150.826,12;0,00;0,00;15.318.333,22083;6.820.745,9667;356.572,1678;5.258.905,5984;0,00;319.062,8981;886.205,3024;0,00;41.074.418,1245;15.631.580,3625;15.767.566,0781;0,00;2.650.303,6321;1.687.563,9534;5.337.404,0984;0,00;0,00;0,00;47.895.164,0912;-32.576.830,87037;684.874.663,32189;5,69;37.531.754,97935;697.140.805,58311
28;2053;5,69;0,21235;14.508.508,1854;137.214,807;0,00;137.214,807;0,00;0,00;2.038,7308;264.787,9531;2.031.191,146;1.695.029,595;336.161,551;0,00;0,00;0,00;0,00;0,00;2.031.191,146;1.695.029,595;336.161,551;0,00;0,00;0,00;0,00;0,00;5.909,1868;4.926,4571;0,00;0,00;982,7297;55.764,2212;55.764,2212;0,00;0,00;0,00;0,00;2.091.911,45064;8.232.334,32;0,00;0,00;14.852.342,96154;6.464.474,2556;355.103,8118;4.940.655,2503;0,00;303.719,3674;864.995,8261;0,00;41.838.229,0128;16.152.966,239;15.844.163,2241;0,00;2.673.243,8108;1.683.186,3819;5.484.669,357;0,00;0,00;0,00;48.302.703,2684;-33.450.360,30686;690.037.621,57195;5,69;37.763.986,33622;701.454.431,61247
29;2054;5,69;0,20092;12.749.095,6165;128.040,2219;0,00;128.040,2219;0,00;0,00;1.953,5543;249.849,4626;1.784.873,3864;1.502.972,9719;281.900,4145;0,00;0,00;0,00;0,00;0,00;1.784.873,3864;1.502.972,9719;281.900,4145;0,00;0,00;0,00;0,00;0,00;5.831,078;4.807,9696;0,00;0,00;1.023,1084;54.943,5065;54.943,5065;0,00;0,00;0,00;0,00;2.119.914,68175;8.314.657,68;0,00;0,00;14.444.936,95785;6.122.590,427;355.103,8118;4.641.885,4408;0,00;288.590,7657;837.010,4087;0,00;42.398.293,6349;16.769.470,2997;15.649.189,8795;0,00;2.679.475,6274;1.670.726,5961;5.629.431,2322;0,00;0,00;0,00;48.520.884,0619;-34.075.947,10405;694.607.892,32032;5,69;37.973.835,76853;705.352.320,27695
30;2055;5,69;0,1901;11.332.931,1671;119.114,9044;0,00;119.114,9044;0,00;0,00;1.864,5114;235.133,3992;1.586.610,3634;1.335.887,247;250.723,1164;0,00;0,00;0,00;0,00;0,00;1.586.610,3634;1.335.887,247;250.723,1164;0,00;0,00;0,00;0,00;0,00;11.490,1435;10.486,9214;0,00;0,00;1.003,2221;53.904,6467;53.904,6467;0,00;0,00;0,00;0,00;2.129.820,66298;0,00;0,00;0,00;5.724.548,99498;5.794.134,7472;347.753,0949;4.354.914,8887;0,00;273.093,2543;818.373,5093;0,00;42.596.413,2596;17.199.481,7802;15.303.364,1332;0,00;2.679.051,6346;1.650.163,6954;5.764.352,0162;0,00;0,00;0,00;48.390.548,0068;-42.665.999,01182;697.241.513,8648;5,69;37.706.851,67999;700.393.172,94512
31;2056;5,69;0,17987;9.773.787,7502;110.579,8879;0,00;110.579,8879;0,00;0,00;1.167,4115;219.901,5379;1.368.330,285;1.187.958,8847;180.371,4003;0,00;0,00;0,00;0,00;0,00;1.368.330,285;1.187.958,8847;180.371,4003;0,00;0,00;0,00;0,00;0,00;11.254,8404;10.273,056;0,00;0,00;981,7844;52.223,0585;52.223,0585;0,00;0,00;0,00;0,00;2.137.981,20547;0,00;0,00;0,00;5.269.768,51167;5.413.883,5176;347.753,0949;4.050.277,6632;0,00;258.755,2437;757.097,5158;0,00;42.759.624,1093;17.489.315,1316;15.133.845,8859;0,00;2.667.841,6444;1.624.172,1916;5.844.449,2558;0,00;0,00;0,00;48.173.507,6269;-42.903.739,11523;692.676.077,39046;5,69;37.411.148,78492;694.900.582,61481
32;2057;5,69;0,17019;8.504.978,0255;103.189,8947;0,00;103.189,8947;0,00;0,00;1.072,4727;207.112,2554;1.190.696,9235;1.053.676,7035;137.020,22;0,00;0,00;0,00;0,00;0,00;1.190.696,9235;1.053.676,7035;137.020,22;0,00;0,00;0,00;0,00;0,00;11.000,6555;10.042,0278;0,00;0,00;958,6277;50.543,5024;50.543,5024;0,00;0,00;0,00;0,00;2.132.988,87016;0,00;0,00;0,00;4.887.301,49786;5.125.366,2379;334.258,4275;3.807.986,6811;0,00;244.376,2171;738.744,9122;0,00;42.659.777,4032;17.686.035,8181;14.807.101,0867;0,00;2.647.035,0522;1.591.533,781;5.928.071,6652;0,00;0,00;0,00;47.785.143,6411;-42.897.842,14324;687.599.798,86045;5,69;37.098.955,93283;689.101.696,4044
33;2058;5,69;0,16103;7.327.203,4943;96.601,0323;0,00;96.601,0323;0,00;0,00;976,2854;194.557,3821;1.025.808,4892;926.485,0668;99.323,4224;0,00;0,00;0,00;0,00;0,00;1.025.808,4892;926.485,0668;99.323,4224;0,00;0,00;0,00;0,00;0,00;10.727,036;9.793,3407;0,00;0,00;933,6953;48.623,2582;48.623,2582;0,00;0,00;0,00;0,00;2.117.922,91813;0,00;0,00;0,00;4.521.024,89053;4.835.336,6516;321.248,3458;3.569.899,2958;0,00;230.808,4259;713.380,5841;0,00;42.358.458,3625;17.792.474,0845;14.434.818,548;0,00;2.616.228,8486;1.555.020,9545;5.959.915,9269;0,00;0,00;0,00;47.193.795,0141;-42.672.770,12357;682.230.100,2314;5,69;36.781.805,90538;683.210.732,18621
34;2059;5,69;0,15236;6.240.491,0577;92.348,024;0,00;92.348,024;0,00;0,00;880,3415;186.879,9144;873.668,748;818.532,3723;55.136,3757;0,00;0,00;0,00;0,00;0,00;873.668,748;818.532,3723;55.136,3757;0,00;0,00;0,00;0,00;0,00;10.434,9719;9.527,8995;0,00;0,00;907,0724;47.701,4859;47.701,4859;0,00;0,00;0,00;0,00;2.098.490,73005;0,00;0,00;0,00;4.184.072,96375;4.653.875,7245;296.066,9551;3.441.531,3332;0,00;222.129,6686;694.147,7676;0,00;41.969.814,6009;17.762.077,8025;14.085.170,6694;0,00;2.578.497,4332;1.512.585,5485;6.031.483,1473;0,00;0,00;0,00;46.623.690,3254;-42.439.617,36165;676.744.632,08499;5,69;36.459.876,43352;677.230.991,25808
35;2060;5,69;0,14416;5.338.841,2296;88.851,1833;0,00;88.851,1833;0,00;0,00;786,1872;179.426,7711;747.437,7721;697.733,9197;49.703,8524;0,00;0,00;0,00;0,00;0,00;747.437,7721;697.733,9197;49.703,8524;0,00;0,00;0,00;0,00;0,00;10.126,4254;9.247,4893;0,00;0,00;878,9361;46.615,618;46.615,618;0,00;0,00;0,00;0,00;2.066.720,02439;0,00;0,00;0,00;3.887.401,75359;4.437.270,79;289.954,0908;3.298.581,3314;0,00;214.591,7713;634.143,5965;0,00;41.334.400,4877;17.771.608,1033;13.501.877,6858;0,00;2.531.202,4719;1.464.780,7999;6.064.931,4268;0,00;0,00;0,00;45.771.671,2777;-41.884.269,52411;671.192.954,96348;5,69;36.151.228,46666;671.497.950,20063
36;2061;5,69;0,1364;4.703.820,5522;85.968,1804;0,00;85.968,1804;0,00;0,00;736,1422;171.187,3231;658.534,8773;636.484,677;22.050,2003;0,00;0,00;0,00;0,00;0,00;658.534,8773;636.484,677;22.050,2003;0,00;0,00;0,00;0,00;0,00;9.803,1964;8.953,746;0,00;0,00;849,4504;45.517,9402;45.517,9402;0,00;0,00;0,00;0,00;2.023.009,64656;0,00;0,00;0,00;3.653.292,18346;4.250.315,1799;248.287,1861;3.175.459,2761;0,00;207.462,4401;619.106,2776;0,00;40.460.192,9312;17.427.771,1938;13.057.052,1426;0,00;2.479.306,5375;1.416.562,3821;6.079.500,6752;0,00;0,00;0,00;44.710.508,1111;-41.057.215,92764;665.897.745,9481;5,69;35.872.077,78013;666.312.812,05312
37;2062;5,69;0,12906;3.856.142,4994;81.734,2262;0,00;81.734,2262;0,00;0,00;686,9855;162.352,3612;539.859,95;528.863,9696;10.995,9804;0,00;0,00;0,00;0,00;0,00;539.859,95;528.863,9696;10.995,9804;0,00;0,00;0,00;0,00;0,00;9.466,1215;8.647,4268;0,00;0,00;818,6947;43.729,0608;43.729,0608;0,00;0,00;0,00;0,00;1.983.665,62304;0,00;0,00;0,00;3.361.354,27824;4.031.099,0885;225.050,1785;3.021.997,0454;0,00;200.052,9248;583.998,9398;0,00;39.673.312,4607;17.340.272,8775;12.500.801,3077;0,00;2.421.072,2655;1.363.662,4213;6.047.503,5887;0,00;0,00;0,00;43.704.411,5492;-40.343.057,27096;661.106.137,08173;5,69;35.617.679,0471;661.587.433,82926
38;2063;5,69;0,12211;3.013.651,0596;79.212,2992;0,00;79.212,2992;0,00;0,00;640,1318;152.431,1963;421.911,1484;416.364,4323;5.546,7161;0,00;0,00;0,00;0,00;0,00;421.911,1484;416.364,4323;5.546,7161;0,00;0,00;0,00;0,00;0,00;9.114,0918;8.327,5181;0,00;0,00;786,5737;42.351,344;42.351,344;0,00;0,00;0,00;0,00;1.942.182,30122;0,00;0,00;0,00;3.069.753,66112;3.810.184,0768;185.293,1344;2.863.330,7909;0,00;192.358,7224;569.201,4291;0,00;38.843.646,0243;17.264.869,4953;11.943.029,5231;0,00;2.351.236,193;1.310.171,5716;5.974.339,2413;0,00;0,00;0,00;42.653.830,1011;-39.584.076,43998;656.753.822,25517;5,69;35.391.991,03545;657.395.348,42473
39;2064;5,69;0,11554;2.327.867,0282;78.189,8478;0,00;78.189,8478;0,00;0,00;596,5562;147.745,964;325.901,3839;320.362,0014;5.539,3825;0,00;0,00;0,00;0,00;0,00;325.901,3839;320.362,0014;5.539,3825;0,00;0,00;0,00;0,00;0,00;8.744,5768;7.991,71;0,00;0,00;752,8668;42.351,344;42.351,344;0,00;0,00;0,00;0,00;1.898.442,56619;0,00;0,00;0,00;2.827.873,62279;3.693.879,9945;160.986,4661;2.793.932,8134;0,00;184.391,864;554.568,851;0,00;37.968.851,3238;17.102.413,3548;11.359.482,7631;0,00;2.273.872,578;1.255.817,8728;5.977.264,7551;0,00;0,00;0,00;41.662.731,3183;-38.834.857,69551;652.908.368,96659;5,69;35.196.091,92249;653.756.582,65171
40;2065;5,69;0,10932;1.743.112,0504;76.032,4947;0,00;76.032,4947;0,00;0,00;596,5562;138.749,4533;244.035,6871;244.035,6871;0,00;0,00;0,00;0,00;0,00;0,00;244.035,6871;244.035,6871;0,00;0,00;0,00;0,00;0,00;0,00;8.354,7525;7.637,4185;0,00;0,00;717,334;41.557,1322;41.557,1322;0,00;0,00;0,00;0,00;1.845.561,85241;0,00;0,00;0,00;2.598.923,61551;3.457.341,3622;144.633,5842;2.630.355,4815;0,00;171.375,7064;510.976,5901;0,00;36.911.237,0482;16.818.188,2261;10.817.212,3975;0,00;2.192.354,641;1.201.079,9136;5.882.401,87;0,00;0,00;0,00;40.368.578,4104;-37.769.654,79489;649.627.603,98953;5,69;35.049.656,19505;651.036.584,05187
41;2066;5,69;0,10343;1.403.511,2694;74.685,7085;0,00;74.685,7085;0,00;0,00;596,5562;133.676,585;196.491,5777;196.491,5777;0,00;0,00;0,00;0,00;0,00;0,00;196.491,5777;196.491,5777;0,00;0,00;0,00;0,00;0,00;0,00;7.942,8632;7.263,0202;0,00;0,00;679,843;40.446,3555;40.446,3555;0,00;0,00;0,00;0,00;1.782.699,97393;0,00;0,00;0,00;2.433.031,19773;3.333.622,702;112.535,1759;2.560.996,5234;0,00;158.317,2323;501.773,7704;0,00;35.653.999,4786;16.345.276,7169;10.262.650,6407;0,00;2.108.350,9279;1.146.481,1235;5.791.240,0696;0,00;0,00;0,00;38.987.622,1806;-36.554.590,98287;647.255.742,70651;5,69;34.964.025,40563;649.446.018,47463
42;2067;5,69;0,09786;1.018.450,5426;74.597,5726;0,00;74.597,5726;0,00;0,00;596,5562;131.389,0275;142.583,076;142.583,076;0,00;0,00;0,00;0,00;0,00;0,00;142.583,076;142.583,076;0,00;0,00;0,00;0,00;0,00;0,00;7.510,4347;6.869,8614;0,00;0,00;640,5733;40.372,682;40.372,682;0,00;0,00;0,00;0,00;1.726.532,86774;0,00;0,00;0,00;2.266.165,29274;3.273.646,2303;96.764,5775;2.531.015,9717;0,00;150.654,4999;495.211,1812;0,00;34.530.657,3547;15.942.964,7599;9.751.314,9117;0,00;2.019.060,2824;1.092.457,9161;5.724.859,4846;0,00;0,00;0,00;37.804.303,585;-35.538.138,29226;645.968.256,26135;5,69;34.931.358,38238;648.839.238,56475
43;2068;5,69;0,09259;793.151,2035;68.996,2401;0,00;68.996,2401;0,00;0,00;596,5562;119.431,703;111.041,1685;111.041,1685;0,00;0,00;0,00;0,00;0,00;0,00;111.041,1685;111.041,1685;0,00;0,00;0,00;0,00;0,00;0,00;7.062,5429;6.462,5048;0,00;0,00;600,0381;36.685,6919;36.685,6919;0,00;0,00;0,00;0,00;1.660.252,51293;0,00;0,00;0,00;2.115.107,58403;3.010.940,2259;70.902,7659;2.317.731,2942;0,00;138.077,2554;484.228,9104;0,00;33.205.050,2585;15.413.694,4973;9.272.811,692;0,00;1.929.073,0312;1.040.532,9371;5.548.938,1009;0,00;0,00;0,00;36.215.990,4844;-34.100.882,90037;645.681.837,81701;5,69;34.978.612,4373;649.716.968,10168
44;2069;5,69;0,08761;538.838,1431;66.660,9607;0,00;66.660,9607;0,00;0,00;596,5562;113.543,7238;75.437,34;75.437,34;0,00;0,00;0,00;0,00;0,00;0,00;75.437,34;75.437,34;0,00;0,00;0,00;0,00;0,00;0,00;6.607,241;6.048,2195;0,00;0,00;559,0215;36.685,6919;36.685,6919;0,00;0,00;0,00;0,00;1.602.190,97898;0,00;0,00;0,00;1.977.159,83258;2.880.714,3472;45.123,7161;2.225.750,7593;0,00;131.713,8328;478.126,039;0,00;32.043.819,5795;14.914.322,7288;8.822.074,3337;0,00;1.836.766,2101;989.547,2785;5.481.109,0284;0,00;0,00;0,00;34.924.533,9267;-32.947.374,09412;646.830.448,65729;5,69;35.094.189,89903;651.863.783,90659
45;2070;5,69;0,08289;387.481,774;62.221,9907;0,00;62.221,9907;0,00;0,00;596,5562;103.181,2424;54.247,4484;54.247,4484;0,00;0,00;0,00;0,00;0,00;0,00;54.247,4484;54.247,4484;0,00;0,00;0,00;0,00;0,00;0,00;6.153,4045;5.635,031;0,00;0,00;518,3735;33.561,0813;33.561,0813;0,00;0,00;0,00;0,00;1.535.938,05118;0,00;0,00;0,00;1.850.147,22308;2.634.965,4719;9.931,5511;2.053.693,2976;0,00;118.140,4347;453.200,1885;0,00;30.718.761,0236;14.357.424,123;8.424.024,4855;0,00;1.746.151,4578;941.091,6511;5.250.069,3062;0,00;0,00;0,00;33.353.726,4955;-31.503.579,27242;649.252.452,2207;5,69;35.298.495,64368;655.658.700,27785
46;2071;5,69;0,07843;149.219,4847;58.162,5771;0,00;58.162,5771;0,00;0,00;596,5562;94.317,6046;20.890,7279;20.890,7279;0,00;0,00;0,00;0,00;0,00;0,00;20.890,7279;20.890,7279;0,00;0,00;0,00;0,00;0,00;0,00;5.707,5158;5.228,8073;0,00;0,00;478,7085;29.997,1391;29.997,1391;0,00;0,00;0,00;0,00;1.473.833,309;0,00;0,00;0,00;1.704.396,1576;2.435.755,9335;0,00;1.886.352,0911;0,00;113.174,6591;436.229,1833;0,00;29.476.666,1799;13.836.544,2006;8.047.132,0351;0,00;1.652.731,104;893.006,4476;5.047.252,3926;0,00;0,00;0,00;31.912.422,1134;-30.208.025,9558;653.289.484,80214;5,69;35.588.143,36892;661.038.817,69097
47;2072;5,69;0,07421;50.192,5593;55.912,5103;0,00;55.912,5103;0,00;0,00;596,5562;89.543,2562;7.026,9583;7.026,9583;0,00;0,00;0,00;0,00;0,00;0,00;7.026,9583;7.026,9583;0,00;0,00;0,00;0,00;0,00;0,00;5.490,1824;5.028,4644;0,00;0,00;461,718;27.999,0924;27.999,0924;0,00;0,00;0,00;0,00;1.414.065,38372;0,00;0,00;0,00;1.607.660,89782;2.317.820,486;0,00;1.790.865,1234;0,00;113.174,6591;413.780,7035;0,00;28.281.307,6743;13.227.674,249;7.705.057,6387;0,00;1.559.048,8839;849.036,667;4.940.490,2357;0,00;0,00;0,00;30.599.128,1603;-28.991.467,26248;658.887.360,90542;5,69;35.963.494,23938;668.010.844,66787
48;2073;5,69;0,07021;49.814,4556;51.031,9068;0,00;51.031,9068;0,00;0,00;596,5562;81.572,3319;6.974,0238;6.974,0238;0,00;0,00;0,00;0,00;0,00;0,00;6.974,0238;6.974,0238;0,00;0,00;0,00;0,00;0,00;0,00;5.263,1718;4.819,2008;0,00;0,00;443,971;27.053,817;27.053,817;0,00;0,00;0,00;0,00;1.353.697,15352;0,00;0,00;0,00;1.533.162,98482;2.131.156,9878;0,00;1.631.446,6374;0,00;103.455,5657;396.254,7847;0,00;27.073.943,0703;12.589.126,4709;7.385.049,1992;0,00;1.468.260,6431;807.200,2022;4.824.306,5549;0,00;0,00;0,00;29.205.100,0581;-27.671.937,07328;666.067.997,96596;5,69;36.435.283,84213;676.774.191,43672
49;2074;5,69;0,06643;0,00;45.938,3612;0,00;45.938,3612;0,00;0,00;596,5562;73.034,5851;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.025,3504;4.599,9716;0,00;0,00;425,3788;24.541,2768;24.541,2768;0,00;0,00;0,00;0,00;1.291.948,85802;0,00;0,00;0,00;1.441.084,98772;1.954.454,9061;0,00;1.460.691,7016;0,00;103.455,5657;390.307,6388;0,00;25.838.977,1603;12.006.578,075;7.069.100,8227;0,00;1.376.594,7767;767.424,4334;4.619.279,0525;0,00;0,00;0,00;27.793.432,0664;-26.352.347,07868;675.023.605,02028;5,69;37.009.002,94397;687.430.847,30201
50;2075;5,69;0,06285;0,00;39.498,7722;0,00;39.498,7722;0,00;0,00;596,5562;62.743,5975;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.775,7809;4.369,9127;0,00;0,00;405,8682;20.310,4136;20.310,4136;0,00;0,00;0,00;0,00;1.226.820,70357;0,00;0,00;0,00;1.354.745,82397;1.738.309,4047;0,00;1.254.871,9495;0,00;98.684,7674;384.752,6878;0,00;24.536.414,0713;11.437.000,2518;6.718.751,6346;0,00;1.284.567,8084;726.321,2006;4.369.773,1759;0,00;0,00;0,00;26.274.723,476;-24.919.977,65203;685.864.626,70658;5,69;37.696.868,48308;700.207.738,13306
51;2076;5,69;0,05947;0,00;26.033,1325;0,00;26.033,1325;0,00;0,00;596,5562;39.441,7755;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.514,6987;4.129,2412;0,00;0,00;385,4575;12.981,9779;12.981,9779;0,00;0,00;0,00;0,00;1.156.244,16719;0,00;0,00;0,00;1.239.812,30799;1.232.108,7255;0,00;788.835,5108;0,00;64.328,4828;378.944,7319;0,00;23.124.883,3438;10.853.304,8707;6.389.955,705;0,00;1.202.133,707;690.110,4035;3.989.378,6576;0,00;0,00;0,00;24.356.992,0693;-23.117.179,76131;698.832.959,45266;5,69;38.526.452,77135;715.617.011,1431
